report_id,mode,date,occurrence_type,company,location,url,notes
A25W0073,aviation,2025-06-21,Stall and collision with terrain,"Privately registered, Morrisey 2150A (Varga)","Vermilion Aerodrome (CYVG), Alberta",https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2025/a25w0073/a25w0073.html,
A25Q0051,aviation,2025-05-02,Loss of control and overturn on takeoff,"ETA Aviation & Camp du Nord, DHC-2 Beaver (floatplane)","St-Mathias Water Aerodrome (CSV9), Quebec",https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2025/a25q0051/a25q0051.html,"Floatplane, water aerodrome variety"
A25W0045,aviation,2025-05-02,Collision with terrain,Horizon Helicopters Ltd. (Airbus AS350B helicopter),"Whitehorse/Erik Nielsen Intl Airport area, Yukon",https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2025/a25w0045/a25w0045.html,"Helicopter operations, northern Canada"
A24P0107,aviation,2024-10-02,Loss of control and collision with water,Wilderness Seaplanes Ltd. (Cessna A185F),"Port Hardy Water Aerodrome (CAW5), British Columbia",https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2024/a24p0107/a24p0107.html,Seaplane
A24C0095,aviation,2024-09-08,Collision with terrain,KBM Forestry Consultants Inc. (Cessna U206F),"Lloydminster Airport (CYLL), Alberta",https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2024/a24c0095/a24c0095.html,"Forestry/utility aviation, less common operator type"
A24W0116,aviation,2024-08-29,Fuel exhaustion,Simpson Air (1981) Ltd. (DHC-2 Beaver floatplane),"Fort Simpson Island Water Aerodrome (CEZ7), NWT",https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2024/a24w0116/a24w0116.html,"Operational/fuel-management cause, distinct from terrain-collision majority"
A24P0092,aviation,2024-08-15,Collision with terrain,West Coast Helicopters Maintenance and Contracting Ltd. (AS350 B2 helicopter),"Brooks Peninsula, British Columbia",https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2024/a24p0092/a24p0092.html,
A19P0187,aviation,2019-12-21,Collision with terrain,,,https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2019/a19p0187/a19p0187.html,
A19C0145,aviation,2019-12-03,Controlled flight into terrain,,,https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2019/a19c0145/a19c0145.html,"CFIT, most common serious aviation occurrence type in archive"
A19P0142,aviation,2019-09-24,Main rotor blade failure and collision with terrain,,,https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2019/a19p0142/a19p0142.html,"Mechanical (rotor) failure, distinct cause category"
A19W0105,aviation,2019-08-06,Controlled flight into terrain,,,https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2019/a19w0105/a19w0105.html,
A19Q0128,aviation,2019-07-29,Loss of control and collision with terrain,,,https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2019/a19q0128/a19q0128.html,
A19O0178,aviation,2019-11-27,Loss of control and collision with terrain,,,https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2019/a19o0178/a19o0178.html,
A19W0124,aviation,2019-08-31,Collision with terrain,,,https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2019/a19w0124/a19w0124.html,
A19Q0146,aviation,2019-08-22,Collision with terrain,,,https://www.tsb.gc.ca/eng/enquetes-investigations/aviation/2019/a19q0146/a19q0146.html,2019 date-cluster for spread
