report_id,chunks_used,grounded,root_cause_category,dangerous_goods_involved,fatality_count,key_recommendation,prior_recommendation_unimplemented,parse_error
R13D0054,21,True,inadequate securement procedures,True,47,"Ensure that railways conduct route planning and analysis, and periodic risk assessments for trains carrying dangerous goods.",True,
R19C0015,12,True,brake system failure,False,3,Implement condition-based replacement policy for older CCVs in extreme cold temperatures.,True,
R15H0021,30,True,Maintenance oversight failure,True,0,"Conduct a study on the factors that increase the severity of derailments involving dangerous goods, identify appropriate mitigating strategies including train speeds for various train risk profiles and amend the Rules Respecting Key Trains and Key Routes accordingly.",,
R21D0001,3,True,Operational procedure deviation,False,1,"Ensure strict adherence to safety rules and procedures, and enforce them uniformly and consistently.",True,
R19T0147,23,True,Operational and procedural deficiencies,False,1,"Reinforce safe, smooth train handling options for RCLS use in yard operations and provide more specific guidance for identifying conditions that are conducive to string-line events.",True,
R18M0037,16,True,Insufficient securement,False,1,Transport Canada and the railway industry must collaborate to address the issue of uncontrolled movements of rolling stock and implement additional physical defences to prevent such occurrences.,True,
R17W0267,20,True,Inadequate crew communication,False,1,"The Department of Transport work with the railway industry and its labour representatives to identify the underlying causes of uncontrolled movements that occur while switching without air, and develop and implement strategies and/or regulatory requirements to reduce their frequency.",,
R15T0173,23,True,Switching without air,True,0,Implement a reliable means to measure coupling speeds and ensure compliance with section 10.7 of the Transportation of Dangerous Goods Regulations.,,
R24C0020,11,True,Distraction and divided attention,False,0,Implement physical fail-safe train controls to reduce the risk of collisions and derailments in signalled territory in Canada.,True,
R25T0177,3,True,Driver decision making,False,1,Assess whether the defence built on the requirement to stop at a passive crossing equipped with a stop sign can be supplemented to improve rail crossing safety.,False,
R25T0189,3,True,Air hose kinking,True,0,"The railway industry is reminded that the long intermediate hoses used on rail cars equipped with EOCCDs present an increased risk of kinking under elevated buff forces, particularly on cars with legacy end arrangements, which can result in intermittent air flow restrictions in the brake pipe.",,
R25W0047,2,True,Track maintenance oversight,False,0,"Review and improve track inspection and maintenance practices, particularly those related to rail destressing and securement.",,
R26Q0001,2,True,Drivers' lack of awareness,False,0,Transport Canada should consider adopting measures to identify and prevent heavy vehicles from encroaching on railway tracks.,False,
R23V0205,14,True,Operational error,True,0,Immediate implementation of additional interim measures to mitigate risks associated with train crews not complying with railway signal indications,,
R23D0108,15,True,crew resource management,False,0,Immediate implementation of additional interim measures to mitigate risks associated with train crews not complying with railway signal indications,,
R22C0065,18,True,Track buckle due to compressive stress,False,0,Implement proactive risk management and safety management systems to identify and mitigate hazards and risks associated with increased train traffic and infrastructure maintenance.,False,
P18H0034,2,True,Fatigue failure of pipe nipple,True,0,"Pipeline companies must identify and mitigate hazards related to vibration, including additional external loads and stresses, particularly for small-diameter threaded connections.",False,
P24H0018,11,True,Human error in analysis,False,0,Implement mandatory recording of downgrade decision rationale in EMAT data analysis.,True,
P25H0072,2,True,Loss of pipeline identification,True,0,Positively identify buried facilities before conducting ground disturbance activities.,,
P17H0011,14,True,communication failure,False,0,Establish and follow detailed procedures for amending crossing agreements.,False,
P14H0011,4,True,Manufacturing and construction defects,False,0,null,,
P13H0107,8,True,design and engineering error,False,0,Develop a stress analysis specification to ensure that new pipeline projects establish a temperature design basis that is representative of the entire operating envelope of the pipeline.,,
